plant,acacia,flooded_aca,casuarina,flooded_cas,eucalyptus,flooded_euc,GH,CO2
1,0.855,1,0.794,0,0.794,1,2,1
2,0.756,0,0.787,1,0.844,0,2,1
3,0.822,1,0.809,1,0.805,0,2,1
4,0.822,1,0.791,0,0.887,1,2,1
5,0.934,1,0.702,1,0.829,0,2,1
6,0.791,0,0.744,1,0.789,1,2,1
7,0.837,0,0.831,1,0.793,1,2,1
8,0.858,1,0.833,0,0.856,1,2,1
9,0.789,1,0.791,0,0.825,1,2,1
10,0.833,0,0.7,1,0.9,1,2,1
11,0.792,1,0.754,1,0.879,0,2,1
12,0.817,1,0.804,1,0.881,1,2,1
13,0.861,1,0.917,1,0.847,1,3,0
14,0.835,1,0.844,0,0.846,1,3,0
15,0.834,0,0.8,1,0.825,1,3,0
16,0.808,1,0.817,0,0.85,0,3,0
17,0.845,1,0.892,1,0.867,0,3,0
18,NA,0,0.928,1,0.829,1,3,0
19,0.847,1,0.853,1,0.818,1,3,0
20,0.809,0,0.789,0,0.857,0,3,0
21,0.835,0,0.76,1,0.821,1,3,0
22,0.797,1,0.891,0,0.905,1,3,0
23,0.852,1,0.866,1,0.978,1,3,0
24,0.859,1,0.93,1,0.733,0,3,0
25,0.825,1,0.82,0,0.83,1,4,1
26,0.859,0,0.796,1,0.826,1,4,1
27,0.803,1,0.754,1,0.803,0,4,1
28,0.878,1,0.902,1,0.841,1,4,1
29,0.812,0,0.864,1,0.817,1,4,1
30,0.857,0,NA,0,0.789,1,4,1
31,0.809,1,0.817,0,0.813,1,4,1
32,0.836,1,0.845,1,0.811,1,4,1
33,0.856,0,0.761,1,0.844,0,4,1
34,0.92,1,0.799,1,0.815,0,4,1
35,0.899,1,0.796,0,0.881,1,4,1
36,0.889,1,0.819,1,0.84,0,4,1
37,0.804,0,0.842,0,0.853,1,5,0
38,0.883,1,0.841,1,0.858,0,5,0
39,0.838,0,0.84,1,0.81,0,5,0
40,0.851,1,0.982,1,0.863,1,5,0
41,0.906,1,0.824,0,0.833,1,5,0
42,0.862,1,0.885,0,0.822,1,5,0
43,0.829,1,0.794,1,0.832,1,5,0
44,0.834,0,0.924,1,0.863,0,5,0
45,0.861,1,0.799,1,0.846,0,5,0
46,0.87,1,0.843,1,0.921,1,5,0
47,0.875,0,0.853,0,0.814,1,5,0
48,0.824,1,0.792,1,0.918,1,5,0
